en,fr,it,nl,ja,da,name,identifier,type,country,is_org_file,is_publisher
Women Environmental Programme,,,,,,Women Environmental Programme,NG-CAC-495140,22,Nigeria,true,true
Girls’ Education Challenge – Fund Manager PwC,,,,,,Girls’ Education Challenge – Fund Manager PwC,GB-COH-03580586-GEC,70,United Kingdom,,true
Switzerland - Swiss Agency for Development and Cooperation (SDC),,,,,,Switzerland - Swiss Agency for Development and Cooperation (SDC),CH-4,10,Switzerland,,true
Magariro,,,,,,Magariro,MZ-MOJ-F2G1No4,22,Mozambique,,true
Power International,,,,,,Power International,GB-CHC-1059996,21,United Kingdom,true,true
Sympany+,,,,,,Sympany+,NL-KVK-30285304,21,Netherlands,true,true
Digital Campus,,,,,,Digital Campus,GB-COH-07629751,80,United Kingdom,true,true
SPARK,,,,,,SPARK,NL-KVK-41213450,21,Netherlands,,true
Wellfound,,,,,,Wellfound,GB-CHC-1110434,21,United Kingdom,true,true
GPPAC Foundation,,,,,,GPPAC Foundation,NL-KVK-41217404,21,Netherlands,true,true
UK - Ministry of Defence,,,,,,UK - Ministry of Defence,GB-GOV-8,10,United Kingdom,true,true
Women Peacemakers Program,,,,,,Women Peacemakers Program,NL-KVK-56083459,21,Netherlands,,true
Leonard Cheshire Disability,,,,,,Leonard Cheshire Disability,GB-CHC-218186,21,United Kingdom,true,true
Retrak,,,,,,Retrak,GB-CHC-1122799,21,United Kingdom,true,true
Adaptation Fund,,,,,,Adaptation Fund,47111,40,United States,,true
United Purpose,,,,,,United Purpose,GB-CHC-272465,21,United Kingdom,true,true
Teach A Man To Fish,,,,,,Teach A Man To Fish,GB-CHC-1112699,21,United Kingdom,true,true
HTSPE,,,,,,HTSPE,GB-COH-06407873,70,United Kingdom,true,true
UN-Habitat,,,,,,UN-Habitat,41120,40,"Bilateral, unspecified",,true
Stichting Aflatoun International,,,,,,Stichting Aflatoun International,NL-KVK-34229026,21,Netherlands,,true
UK - Foreign & Commonwealth Office,,,,,,UK - Foreign & Commonwealth Office,GB-GOV-3,10,United Kingdom,,true
The OPEC Fund for International Development (OFID),,,,,,The OPEC Fund for International Development (OFID),XI-IATI-OFID,40,Austria,,true
PUM Netherlands,,,,,,PUM Netherlands,NL-KVK-41160229,21,Netherlands,true,true
The Sabre Charitable Trust,,,,,,The Sabre Charitable Trust,GB-CHC-1105489,21,United Kingdom,true,true
Amref Health Africa Headquarters,,,,,,Amref Health Africa Headquarters,KE-RCO-C1-61,21,Kenya,true,true
United Nations World Food Programme (WFP),,,,,,United Nations World Food Programme (WFP),XM-DAC-41140,40,Italy,true,true
InterClimate Network,,,,,,InterClimate Network,GB-COH-06587734,21,United Kingdom,,true
InterAction's NGO Aid Map,,,,,,InterAction's NGO Aid Map,US-EIN-13-3287064NAM,21,United States,,true
International Planned Parenthood Federation,,,,,,International Planned Parenthood Federation,GB-CHC-21023,21,United Kingdom,true,true
International Network for Bamboo and Rattan (INBAR),,,,,,International Network for Bamboo and Rattan (INBAR),XM-DAC-47064,40,,,true
Health Partners International,,,,,,Health Partners International,GB-COH-03054929,70,,true,true
Win Win Strategies,,,,,,Win Win Strategies,NL-KVK-66926262,21,Netherlands,true,true
Caritas Denmark,,,,,,Caritas Denmark,DK-CVR-29439915,22,Denmark,true,true
CODA International,,,,,,CODA International,GB-CHC-1000717,21,United Kingdom,,true
Find Your Feet,,,,,,Find Your Feet,GB-CHC-250456,21,United Kingdom,true,true
"Discovery Learning Alliance, Inc.",,,,,,"Discovery Learning Alliance, Inc.",US-EIN-522043740,21,United States,,true
Penal Reform International,,,,,,Penal Reform International,GB-COH-04154075,21,United Kingdom,,true
Progressio,,,,,,Progressio,GB-CHC-294329,21,United Kingdom,true,true
European Journalism Centre,,,,,,European Journalism Centre,NL-KVK-41078390,22,Netherlands,true,true
New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,,,,,,New Zealand - Ministry of Foreign Affairs and Trade - New Zealand Aid Programme,NZ-1,10,New Zealand,,true
Scottish Catholic International Aid Fund (SCIAF),,,,,,Scottish Catholic International Aid Fund (SCIAF),GB-SC-SC012302,21,United Kingdom,true,true
International IDEA,,,,,,International IDEA,XM-DAC-47058,21,Sweden,,true
Aqua for All,,,,,,Aqua for All,NL-KVK-27248417,60,Netherlands,,true
Sense International,,,,,,Sense International,GB-CHC-1076497,21,United Kingdom,,true
Islamic Relief Worldwide,,,,,,Islamic Relief Worldwide,GB-CHC-328158,21,United Kingdom,true,true
Free a Girl,,,,,,Free a Girl,NL-KVK-34308169,60,Netherlands,true,true
Germany - Ministry for Economic Cooperation and Development,,,,,,Germany - Ministry for Economic Cooperation and Development,DE-1,10,Germany,true,true
Friends of Publish What You Fund,,,,,,Friends of Publish What You Fund,US-EIN-47-4128047,21,United States,true,true
People In Aid,,,,,,People In Aid,GB-CHC-1078768,21,United Kingdom,,true
MannionDaniels,,,,,,MannionDaniels,GB-COH-04105827,70,United Kingdom,,true
AECOM,,,,,,AECOM,GB-COH-01846493,70,United Kingdom,,true
Triple Line,,,,,,Triple Line,GB-COH-03788027,70,United Kingdom,,true
World Vision UK,,,,,,World Vision UK,GB-CHC-285908,21,United Kingdom,,true
Ajuda de Desenvolvimento de Povo para Povo (ADPP),,,,,,Ajuda de Desenvolvimento de Povo para Povo (ADPP),mz-moj-64vq1,22,Mozambique,,true
World Child Cancer UK,,,,,,World Child Cancer UK,GB-CHC-1084729,21,United Kingdom,true,true
Bond,,,,,,Bond,GB-CHC-1068839,22,United Kingdom,true,true
